商品,variant,sku,分類,変更対象,old_price,expected_price,new_price,compare_at,判定
セル モジュールキャビネット,ダブル Bタイプ 幅150×奥行35×高さ70cm,685bce782560abc0cd163f2f8013fee0,除外_DRAFT,NO,92480,92480,92480,,match
ソラ キャットハンモック,ファブリック グレー,108b0dc0e0bad0bdf88b77370e3717fb,保留_市場調査,NO,20480,20480,20480,,match
ソラ キャットハンモック,ファブリック ベージュ,d52de93c868d7322a01e9bcfc6e7b7dc,保留_市場調査,NO,20480,20480,20480,,match
ソラ キャットハンモック,木製フレーム ベージュ（クッション付き）,4579d46734814c2073a47d9ffe183e32,保留_市場調査,NO,20480,20480,20480,,match
ソラ キャットハンモック,木製フレーム グレー（クッション付き）,d8093439f7aea64aef353acf897fbe58,保留_市場調査,NO,20480,20480,20480,,match
ツインベル アラームクロック,ホワイト,0d9069aadbf4ab17ccf3bddf69e4e3c8,SUMMER_SALE,YES,5480,4980,4980,,match
デュオ ナイトテーブル,天然木 1連 / ラバーウッド × ステンレス天板,b2b0b5df37fa7f2eda9a39de857f5751,SUMMER_SALE,YES,53480,49980,49980,,match
デュオ ナイトテーブル,天然木 2連 / ラバーウッド × ステンレス天板,8d3b616f47d3c16429f7d4a73434e0a5,SUMMER_SALE,YES,104980,99980,99980,,match
デュオ ナイトテーブル,ブラック 1連 / ラバーウッド × ステンレス天板,5ed747e288c42486e0ed8e70951a2ab4,SUMMER_SALE,YES,53480,49980,49980,,match
デュオ ナイトテーブル,ブラック 2連 / ラバーウッド × ステンレス天板,fe24c5b36b8e11aea02d5888028d654f,SUMMER_SALE,YES,104980,99980,99980,,match
ハル ダイニングチェア,チェリー × ミルクブラウンレザー調（1脚）,f95de56dc5ae72dddab037a31ac85f58,SUMMER_SALE,YES,21980,20980,20980,,match
ハル ダイニングチェア,ウォールナット × グレーレザー調（1脚）,66534c50a2e84f7325295556bd51f753,SUMMER_SALE,YES,21980,20980,20980,,match
ハル ダイニングチェア,チェリー × ミルクブラウンレザー調（2脚セット）,ec1e80f521e6b25b48fd78902e3de0a0,SUMMER_SALE,YES,35480,33980,33980,,match
ハル ダイニングチェア,ウォールナット × グレーレザー調（2脚セット）,4204cd6168b8b2ed94e1e2c636a4018a,SUMMER_SALE,YES,35480,33980,33980,,match
バルーンドッグ オブジェ,ブルー / 幅21×奥行7.5×高さ18cm,994c4b086820abeb527a60044275e816,MULTI_BUY,YES,3980,3480,3480,,match
バルーンドッグ オブジェ,グリーン / 幅21×奥行7.5×高さ18cm,38abe9bb2c2e51270eabe1e756b45025,MULTI_BUY,YES,3980,3480,3480,,match
バルーンドッグ オブジェ,ピンク / 幅21×奥行7.5×高さ18cm,258167debc56c33ca4a6574e3d4236cb,MULTI_BUY,YES,3980,3480,3480,,match
バルーンドッグ オブジェ,マルチカラー / 幅21×奥行7.5×高さ18cm,79bd4179da79fb2fc982b60044e00385,MULTI_BUY,YES,3980,3480,3480,,match
バルーンドッグ オブジェ,ゴールド / 幅21×奥行7.5×高さ18cm,d9dc8606261849e776997393a0efe792,MULTI_BUY,YES,3980,3480,3480,,match
バルーンドッグ オブジェ,シルバー / 幅21×奥行7.5×高さ18cm,827a3e1539a7882340a1d41533f1426f,MULTI_BUY,YES,3980,3480,3480,,match
バルーンドッグ オブジェ,パールホワイト / 幅21×奥行7.5×高さ18cm,6066adc934248df629535895abc0c1e3,MULTI_BUY,YES,3980,3480,3480,,match
バルーンドッグ オブジェ,ブルーグレー / 幅21×奥行7.5×高さ18cm,7e898398eea72c7ecdcbcbb7206f2570,MULTI_BUY,YES,3980,3480,3480,,match
