商品,variant,sku,Product GID,Variant GID,status,分類,old_price,new_price
フェイクファー ブランケット,フェイクファーストライプ-クリームホワイト / 180×200cm,5cd7e3bacba406bac4c6729e7a892299,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059101424,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-カーキ / 100×150cm,cad6c2b689bc2f50cd5d932eac52bfba,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059232496,ACTIVE,MULTI_BUY,3480,2980
フェイクファー ブランケット,フェイクファーストライプ-カーキ / 150×200cm,eb92aa5bd7f4b97e87894944040ab635,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059298032,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-カーキ / 180×200cm,1e2a74b8fa053fd06b254c1a13e21917,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059330800,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ダークグレー / 100×150cm,ef7f0159b57647335b52ff2199324d81,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059461872,ACTIVE,MULTI_BUY,3480,2980
フェイクファー ブランケット,フェイクファーストライプ-ダークグレー / 150×200cm,b3503bd0f476df342afa45ed560f1e7a,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059527408,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ダークグレー / 180×200cm,b8731d7437c74b9840c016fd69d394fa,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059560176,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ライトグレー / 100×150cm,5621be7de738bdc3b454e2d3c513905e,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059691248,ACTIVE,MULTI_BUY,3480,2980
フェイクファー ブランケット,フェイクファーストライプ-ライトグレー / 150×200cm,c3accbf3305de93ffc77f197970824c3,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059756784,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ライトグレー / 180×200cm,935a0d5816288ee5398f22931588273f,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059789552,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ピンク / 100×150cm,961447f0ebdc4ed8073bdbf1b1194649,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059920624,ACTIVE,MULTI_BUY,3480,2980
フェイクファー ブランケット,フェイクファーストライプ-ピンク / 150×200cm,d38100db6b4de6e84cec2a2aa1e0b383,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296059986160,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ピンク / 180×200cm,9562e500e71761d4cfdd48903e856bd3,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060018928,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-フルーツグリーン / 100×150cm,0c2858c8271bcdc306931d3358271c66,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060150000,ACTIVE,MULTI_BUY,3480,2980
フェイクファー ブランケット,フェイクファーストライプ-フルーツグリーン / 150×200cm,cfc43aa289e345b705e21f193a290122,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060215536,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-フルーツグリーン / 180×200cm,0d0bcb81ce73f807b8804b5076cdad00,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060248304,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-キャラメル / 100×150cm,d89bdd2b32c57d34de88ae20ffcbdbbe,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060379376,ACTIVE,MULTI_BUY,3480,2980
