商品,Status,Variant数,分類,CKB原価レンジ,ship_est,推定着地原価,現価格,新通常価格案,SummerSale実売,MB2点,MB3点以上,PAIR15実売,PAIR対象,最悪ケース施策,通常粗利率,通常粗利額,通常限界利益,最悪ケース粗利率,最悪ケース限界利益,判断
ロロ サイドテーブル,ACTIVE,3,SUMMER_SALE,"¥3,404","¥3,500","¥6,904","¥20,980","¥19,980","¥17,982",—,—,—,—,SummerSale10,65.4%,"¥13,076","¥12,357",61.6%,"¥10,431",OK
ロンド コーヒーテーブル,ACTIVE,12,SUMMER_SALE,"¥5,497 〜 ¥6,497","¥3,500","¥8,997 〜 ¥9,997","¥27,480 〜 ¥30,480","¥26,980 〜 ¥29,980","¥24,282 〜 ¥26,982",—,—,—,—,SummerSale10,66.7%,"¥17,983 〜 ¥19,983","¥17,012 〜 ¥18,904",62.9%,"¥14,411",OK
ガラスフラワー オブジェ,ACTIVE,5,MULTI_BUY,¥431,¥800,"¥1,231","¥3,980","¥3,480",—,"¥3,132","¥2,958","¥2,958",P-A,PAIR15,64.6%,"¥2,249","¥2,124",58.4%,"¥1,621",OK
ジャカード 中綿付きクッション,ACTIVE,5,MULTI_BUY,¥387,¥800,"¥1,187","¥3,980","¥3,480",—,"¥3,132","¥2,958",—,—,MB3点以上,65.9%,"¥2,293","¥2,168",59.9%,"¥1,665",OK
セラミック ブックエンド,ACTIVE,4,MULTI_BUY,"¥1,746 〜 ¥1,996",¥800,"¥2,546 〜 ¥2,796","¥7,980 〜 ¥8,480","¥6,980 〜 ¥7,480",—,"¥6,282 〜 ¥6,732","¥5,933 〜 ¥6,358","¥5,933 〜 ¥6,358",P-A,PAIR15,62.6% 〜 63.5%,"¥4,434 〜 ¥4,684","¥4,183 〜 ¥4,415",56.0%,"¥3,173",OK
バルーンドッグ オブジェ,ACTIVE,9,MULTI_BUY,¥474,¥800,"¥1,274","¥3,980","¥3,480",—,"¥3,132","¥2,958","¥2,958",P-F,PAIR15,63.4%,"¥2,206","¥2,081",56.9%,"¥1,578",OK
パイピング クッション,ACTIVE,8,MULTI_BUY,"¥1,094 〜 ¥1,369",¥800,"¥1,894 〜 ¥2,169","¥5,980 〜 ¥6,980","¥5,480 〜 ¥6,480",—,"¥4,932 〜 ¥5,832","¥4,658 〜 ¥5,508","¥4,658 〜 ¥5,508",P-C,PAIR15,65.4% 〜 66.5%,"¥3,586 〜 ¥4,311","¥3,389 〜 ¥4,078",59.3%,"¥2,596",OK
フェイクファー ブランケット,ACTIVE,30,MULTI_BUY,¥324 〜 ¥624,¥800,"¥1,124 〜 ¥1,424","¥3,480 〜 ¥4,480","¥2,980 〜 ¥3,980",—,"¥2,682 〜 ¥3,582","¥2,533 〜 ¥3,383","¥2,533 〜 ¥3,383",P-C,PAIR15,62.3% 〜 66.1%,"¥1,856 〜 ¥2,631","¥1,749 〜 ¥2,488",55.6%,"¥1,318",OK
フラワー フロアクッション,ACTIVE,8,MULTI_BUY,¥594 〜 ¥894,¥800,"¥1,394 〜 ¥1,694","¥7,480 〜 ¥8,480","¥5,480 〜 ¥5,980",—,"¥4,932 〜 ¥5,382","¥4,658 〜 ¥5,083","¥4,658 〜 ¥5,083",P-E,PAIR15,71.7% 〜 74.6%,"¥4,086 〜 ¥4,286","¥3,889 〜 ¥4,071",66.7%,"¥3,096",OK
フラワーバッド テーブルランプ,ACTIVE,4,MULTI_BUY,¥469,"¥1,750","¥2,219","¥6,980","¥5,980",—,"¥5,382","¥5,083","¥5,083",P-B / P-E,PAIR15,62.9%,"¥3,761","¥3,546",56.3%,"¥2,681",OK
フランネル ブランケット,ACTIVE,33,MULTI_BUY,¥299 〜 ¥624,¥800,"¥1,099 〜 ¥1,424","¥3,480 〜 ¥4,480","¥2,980 〜 ¥3,980",—,"¥2,682 〜 ¥3,582","¥2,533 〜 ¥3,383","¥2,533 〜 ¥3,383",P-D,PAIR15,63.1% 〜 65.5%,"¥1,881 〜 ¥2,606","¥1,774 〜 ¥2,463",56.6%,"¥1,343",OK
ベルベット クッション,ACTIVE,8,MULTI_BUY,"¥894 〜 ¥1,719",¥800,"¥1,694 〜 ¥2,519","¥5,480 〜 ¥7,980","¥4,980 〜 ¥6,980",—,"¥4,482 〜 ¥6,282","¥4,233 〜 ¥5,933","¥4,233 〜 ¥5,933",P-D,PAIR15,63.9% 〜 66.0%,"¥3,286 〜 ¥4,486","¥3,107 〜 ¥4,235",57.5%,"¥2,387",OK
ミニ アラームクロック,ACTIVE,4,MULTI_BUY,¥719,¥800,"¥1,519","¥4,980","¥4,480",—,"¥4,032","¥3,808","¥3,808",P-B,PAIR15,66.1%,"¥2,961","¥2,800",60.1%,"¥2,152",OK
レジン スカルプチャーオブジェ,ACTIVE,3,MULTI_BUY,¥389,¥800,"¥1,189","¥3,980","¥3,480",—,"¥3,132","¥2,958",—,—,MB3点以上,65.8%,"¥2,291","¥2,166",59.8%,"¥1,663",OK
手編みコースター,ACTIVE,7,MULTI_BUY,¥232 〜 ¥499,¥800,"¥1,032 〜 ¥1,299","¥3,480 〜 ¥3,980","¥2,980 〜 ¥3,480",—,"¥2,682 〜 ¥3,132","¥2,533 〜 ¥2,958",—,—,MB3点以上,62.7% 〜 67.0%,"¥1,881 〜 ¥2,331","¥1,774 〜 ¥2,206",56.1%,"¥1,343",OK
アブストラクト オブジェ,DRAFT,21,除外_商品構成再設計,—,¥800,—,"¥4,980 〜 ¥58,980","¥4,980 〜 ¥58,980",—,—,—,—,—,—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,価格設計対象外
セル モジュールキャビネット,DRAFT,5,除外_DRAFT,—,"¥3,500",—,"¥39,480 〜 ¥92,480","¥39,480 〜 ¥92,480",—,—,—,—,—,—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,価格設計対象外
ソラ キャットハンモック,ACTIVE,4,保留_市場調査,"¥4,973","¥3,500","¥8,473","¥20,480","¥20,480",—,—,—,—,—,—,58.6%,"¥12,007","¥11,270",—,—,価格設計対象外
プラッシュ クッション,DRAFT,8,除外_DRAFT,¥299 〜 ¥344,¥800,"¥1,099 〜 ¥1,144","¥3,480","¥3,480",—,—,—,—,—,—,67.1% 〜 68.4%,"¥2,336 〜 ¥2,381","¥2,211 〜 ¥2,256",—,—,価格設計対象外
ルナ ウォールライト,DRAFT,8,除外_DRAFT,—,"¥1,750",—,"¥9,480 〜 ¥9,980","¥9,480 〜 ¥9,980",—,—,—,—,—,—,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,価格設計対象外
