product,variant,sku,status,tier,cat,ckb_cost,ship_domestic_cn,agent_qc,intl_ship,duty_tax,ship_est,landed,cost_source,price,mult_now,price_proposed,mult_proposed,通常_売価,通常_粗利額,通常_粗利率,通常_限界利益,通常_BE_ROAS,通常_CPA上限,10%OFF_売価,10%OFF_粗利額,10%OFF_粗利率,10%OFF_限界利益,10%OFF_BE_ROAS,10%OFF_CPA上限,15%OFF_売価,15%OFF_粗利額,15%OFF_粗利率,15%OFF_限界利益,15%OFF_BE_ROAS,15%OFF_CPA上限,判定
アブストラクト オブジェ,マウンテンキャラクターセラミック-F30,2c429cd9ea2d1ca3e5eb14d52d357103,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,6980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
アブストラクト オブジェ,ポット型セラミック-K87,78c58ba6410473c63d66a2065a25196d,DRAFT,tier-aov,object,未確認,未確認,未確認,未確認,未確認,800,未確認,原価待ち,4980,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち,原価待ち
ガラスフラワー オブジェ,ルビー（7点セット）,29d7e8cbcebfab5af9efca0ec2f23682,ACTIVE,tier-aov,object,431.0,未確認,未確認,未確認,未確認,800,1231.0,推定(ckb_cost + ship_est),3980,3.23,3980,3.23,3980,2749,69.1%,2606,1.53,1824,3582,2351,65.6%,2222,1.61,1555,3383,2152,63.6%,2030,1.67,1421,OK
ガラスフラワー オブジェ,ブルー（7点セット）,7b370f9a7f74641e87773b8735868386,ACTIVE,tier-aov,object,431.0,未確認,未確認,未確認,未確認,800,1231.0,推定(ckb_cost + ship_est),3980,3.23,3980,3.23,3980,2749,69.1%,2606,1.53,1824,3582,2351,65.6%,2222,1.61,1555,3383,2152,63.6%,2030,1.67,1421,OK
ガラスフラワー オブジェ,ピンク（7点セット）,7f19f1a9b72ba25c4af03320b63d2075,ACTIVE,tier-aov,object,431.0,未確認,未確認,未確認,未確認,800,1231.0,推定(ckb_cost + ship_est),3980,3.23,3980,3.23,3980,2749,69.1%,2606,1.53,1824,3582,2351,65.6%,2222,1.61,1555,3383,2152,63.6%,2030,1.67,1421,OK
ガラスフラワー オブジェ,ホワイト（7点セット）,4e3ef97bd8e412402af2f47ab63a30e1,ACTIVE,tier-aov,object,431.0,未確認,未確認,未確認,未確認,800,1231.0,推定(ckb_cost + ship_est),3980,3.23,3980,3.23,3980,2749,69.1%,2606,1.53,1824,3582,2351,65.6%,2222,1.61,1555,3383,2152,63.6%,2030,1.67,1421,OK
ガラスフラワー オブジェ,アンバー（7点セット）,dab3482fc0695768b2496f0f97c5e4ce,ACTIVE,tier-aov,object,431.0,未確認,未確認,未確認,未確認,800,1231.0,推定(ckb_cost + ship_est),3980,3.23,3980,3.23,3980,2749,69.1%,2606,1.53,1824,3582,2351,65.6%,2222,1.61,1555,3383,2152,63.6%,2030,1.67,1421,OK
クラウド サイドテーブル,スターライトブラック（1段）,05570b9a124d02f2d3769d087d12019a,ACTIVE,tier-core,table,564.0,未確認,未確認,未確認,未確認,3500,4064.0,推定(ckb_cost + ship_est),12480,3.07,12480,3.07,12480,8416,67.4%,7967,1.57,5577,11232,7168,63.8%,6764,1.66,4735,10608,6544,61.7%,6162,1.72,4313,OK
クラウド サイドテーブル,ミルキーホワイト（1段）,5b71a3dc3109a5c3443b343e30aaeb76,ACTIVE,tier-core,table,564.0,未確認,未確認,未確認,未確認,3500,4064.0,推定(ckb_cost + ship_est),12480,3.07,12480,3.07,12480,8416,67.4%,7967,1.57,5577,11232,7168,63.8%,6764,1.66,4735,10608,6544,61.7%,6162,1.72,4313,OK
クラウド サイドテーブル,ウォールナット（1段）,dc56669e522c1955922bcd9dff5572be,ACTIVE,tier-core,table,564.0,未確認,未確認,未確認,未確認,3500,4064.0,推定(ckb_cost + ship_est),12480,3.07,12480,3.07,12480,8416,67.4%,7967,1.57,5577,11232,7168,63.8%,6764,1.66,4735,10608,6544,61.7%,6162,1.72,4313,OK
クリアシェード テーブルランプ,充電式・無段階調光 / クローム（クリアシェード）,9c4ed89e3487f9ce5f4c97186b090232,ACTIVE,tier-aov,lighting,1949.0,未確認,未確認,未確認,未確認,1750,3699.0,推定(ckb_cost + ship_est),11480,3.1,11480,3.1,11480,7781,67.8%,7368,1.56,5157,10332,6633,64.2%,6261,1.65,4383,9758,6059,62.1%,5708,1.71,3995,OK
クリアシェード テーブルランプ,充電式・無段階調光 / バーガンディ（クリアシェード）,b809bb70178d3b8681fed393f957dc98,ACTIVE,tier-aov,lighting,1949.0,未確認,未確認,未確認,未確認,1750,3699.0,推定(ckb_cost + ship_est),11480,3.1,11480,3.1,11480,7781,67.8%,7368,1.56,5157,10332,6633,64.2%,6261,1.65,4383,9758,6059,62.1%,5708,1.71,3995,OK
クリアシェード テーブルランプ,充電式・無段階調光 / パールブラック（クリアシェード）,baed95876fcacec127ef858731c7dc04,ACTIVE,tier-aov,lighting,1949.0,未確認,未確認,未確認,未確認,1750,3699.0,推定(ckb_cost + ship_est),11480,3.1,11480,3.1,11480,7781,67.8%,7368,1.56,5157,10332,6633,64.2%,6261,1.65,4383,9758,6059,62.1%,5708,1.71,3995,OK
コイル サイドテーブル,レモンイエロー / 全高45cm（天板径34cm）,ab07dcd0e56eb7ee717e2da9a3ac402d,ACTIVE,tier-brand-builder,table,7521.0,未確認,未確認,未確認,未確認,3500,11021.0,推定(ckb_cost + ship_est),33480,3.04,33480,3.04,33480,22459,67.1%,21254,1.58,14878,30132,19111,63.4%,18026,1.67,12618,28458,17437,61.3%,16413,1.73,11489,要検討: 15%OFF後 ×2.58 < 2.6
コイル サイドテーブル,トゥルーレッド / 全高45cm（天板径34cm）,8c1b2d9a7e72c188d438d40ddf490f56,ACTIVE,tier-brand-builder,table,7521.0,未確認,未確認,未確認,未確認,3500,11021.0,推定(ckb_cost + ship_est),33480,3.04,33480,3.04,33480,22459,67.1%,21254,1.58,14878,30132,19111,63.4%,18026,1.67,12618,28458,17437,61.3%,16413,1.73,11489,要検討: 15%OFF後 ×2.58 < 2.6
コイル サイドテーブル,グリーン / 全高45cm（天板径34cm）,3455466daef0d9268b82871cbe8c210c,ACTIVE,tier-brand-builder,table,7521.0,未確認,未確認,未確認,未確認,3500,11021.0,推定(ckb_cost + ship_est),33480,3.04,33480,3.04,33480,22459,67.1%,21254,1.58,14878,30132,19111,63.4%,18026,1.67,12618,28458,17437,61.3%,16413,1.73,11489,要検討: 15%OFF後 ×2.58 < 2.6
コーデュロイ フォールディングチェア,ブラウン,cfba35e8e118f16f83ff476952758d2b,ACTIVE,tier-core,chair,1999.0,未確認,未確認,未確認,未確認,1750,3749.0,推定(ckb_cost + ship_est),11480,3.06,11480,3.06,11480,7731,67.3%,7318,1.57,5122,10332,6583,63.7%,6211,1.66,4348,9758,6009,61.6%,5658,1.72,3960,OK
コーデュロイ フォールディングチェア,ピーコックブルー,b2e07986192be22f0732e2deb26a4121,ACTIVE,tier-core,chair,1999.0,未確認,未確認,未確認,未確認,1750,3749.0,推定(ckb_cost + ship_est),11480,3.06,11480,3.06,11480,7731,67.3%,7318,1.57,5122,10332,6583,63.7%,6211,1.66,4348,9758,6009,61.6%,5658,1.72,3960,OK
コーデュロイ フォールディングチェア,オレンジ,b135c1eeb074ce7fa189ada712ece2f9,ACTIVE,tier-core,chair,1999.0,未確認,未確認,未確認,未確認,1750,3749.0,推定(ckb_cost + ship_est),11480,3.06,11480,3.06,11480,7731,67.3%,7318,1.57,5122,10332,6583,63.7%,6211,1.66,4348,9758,6009,61.6%,5658,1.72,3960,OK
コーデュロイ フォールディングチェア,ピンク,c8fb2c55f4618676bee453bed599f9aa,ACTIVE,tier-core,chair,1999.0,未確認,未確認,未確認,未確認,1750,3749.0,推定(ckb_cost + ship_est),11480,3.06,11480,3.06,11480,7731,67.3%,7318,1.57,5122,10332,6583,63.7%,6211,1.66,4348,9758,6009,61.6%,5658,1.72,3960,OK
コーデュロイ フォールディングチェア,オリーブグリーン,e562d7f8143adbced26b8edd39314da9,ACTIVE,tier-core,chair,1999.0,未確認,未確認,未確認,未確認,1750,3749.0,推定(ckb_cost + ship_est),11480,3.06,11480,3.06,11480,7731,67.3%,7318,1.57,5122,10332,6583,63.7%,6211,1.66,4348,9758,6009,61.6%,5658,1.72,3960,OK
ジオメトリック ブックスタンド,ミッドセンチュリー ブックスタンド,1be0d3e140f8e8a6b08ace3037286484,ACTIVE,tier-aov,object,1974.0,未確認,未確認,未確認,未確認,800,2774.0,推定(ckb_cost + ship_est),8480,3.06,8480,3.06,8480,5706,67.3%,5401,1.57,3781,7632,4858,63.7%,4583,1.67,3208,7208,4434,61.5%,4175,1.73,2922,要検討: 15%OFF後 ×2.60 < 2.6
ジオメトリック ブックスタンド,ミッドセンチュリー ブックスタンド+ダミーブック3冊,0976a78b31041ab45bd0e91144ccb408,ACTIVE,tier-aov,object,2224.0,未確認,未確認,未確認,未確認,800,3024.0,推定(ckb_cost + ship_est),9480,3.13,9480,3.13,9480,6456,68.1%,6115,1.55,4280,8532,5508,64.6%,5201,1.64,3641,8058,5034,62.5%,4744,1.70,3321,OK
ジャカード 中綿付きクッション,イエロー ウェーブ / 45×45cm（中材付き）,69a55069d32475d8c1cd19bfe9fec6ff,ACTIVE,tier-aov,cushion,387.0,未確認,未確認,未確認,未確認,800,1187.0,推定(ckb_cost + ship_est),3980,3.35,3980,3.35,3980,2793,70.2%,2650,1.50,1855,3582,2395,66.9%,2266,1.58,1586,3383,2196,64.9%,2074,1.63,1452,OK
ジャカード 中綿付きクッション,イエロー ダイヤグリッド / 45×45cm（中材付き）,b1cffd17310b993326477bdfa88de12b,ACTIVE,tier-aov,cushion,387.0,未確認,未確認,未確認,未確認,800,1187.0,推定(ckb_cost + ship_est),3980,3.35,3980,3.35,3980,2793,70.2%,2650,1.50,1855,3582,2395,66.9%,2266,1.58,1586,3383,2196,64.9%,2074,1.63,1452,OK
ジャカード 中綿付きクッション,イエロー スモールスクエア / 45×45cm（中材付き）,24f5a06e8b01eb11abc4c5edc9d552cb,ACTIVE,tier-aov,cushion,387.0,未確認,未確認,未確認,未確認,800,1187.0,推定(ckb_cost + ship_est),3980,3.35,3980,3.35,3980,2793,70.2%,2650,1.50,1855,3582,2395,66.9%,2266,1.58,1586,3383,2196,64.9%,2074,1.63,1452,OK
ジャカード 中綿付きクッション,イエロー エコー / 45×45cm（中材付き）,45c2c2242560adb70d1480e42205ea8a,ACTIVE,tier-aov,cushion,387.0,未確認,未確認,未確認,未確認,800,1187.0,推定(ckb_cost + ship_est),3980,3.35,3980,3.35,3980,2793,70.2%,2650,1.50,1855,3582,2395,66.9%,2266,1.58,1586,3383,2196,64.9%,2074,1.63,1452,OK
ジャカード 中綿付きクッション,イエロー ヘリンボーン / 45×45cm（中材付き）,24e86b5f2b68da1216806cd6af3928eb,ACTIVE,tier-aov,cushion,387.0,未確認,未確認,未確認,未確認,800,1187.0,推定(ckb_cost + ship_est),3980,3.35,3980,3.35,3980,2793,70.2%,2650,1.50,1855,3582,2395,66.9%,2266,1.58,1586,3383,2196,64.9%,2074,1.63,1452,OK
セラミック ブックエンド,アーチライン ブックスタンド雑誌3冊付き パールホワイト,ba4eca5633219572344e574b5062107f,ACTIVE,tier-aov,object,1996.0,未確認,未確認,未確認,未確認,800,2796.0,推定(ckb_cost + ship_est),8480,3.03,8480,3.03,8480,5684,67.0%,5379,1.58,3765,7632,4836,63.4%,4561,1.67,3193,7208,4412,61.2%,4153,1.74,2907,要検討: 15%OFF後 ×2.58 < 2.6
セラミック ブックエンド,アーチライン ブックスタンド雑誌3冊付き マットブラック,043c6ce59288f4e637dfe5184f318efa,ACTIVE,tier-aov,object,1996.0,未確認,未確認,未確認,未確認,800,2796.0,推定(ckb_cost + ship_est),8480,3.03,8480,3.03,8480,5684,67.0%,5379,1.58,3765,7632,4836,63.4%,4561,1.67,3193,7208,4412,61.2%,4153,1.74,2907,要検討: 15%OFF後 ×2.58 < 2.6
セラミック ブックエンド,アーチライン ブックスタンド パールホワイト,a2c3760b1bc87363b76c29257054a1c5,ACTIVE,tier-aov,object,1746.0,未確認,未確認,未確認,未確認,800,2546.0,推定(ckb_cost + ship_est),7980,3.13,7980,3.13,7980,5434,68.1%,5147,1.55,3603,7182,4636,64.6%,4377,1.64,3064,6783,4237,62.5%,3993,1.70,2795,OK
