商品,variant,sku,status,tier,cat,分類,ship_bucket,ship_est,ckb_cost,推定着地原価,cost_source,Sale除外,現価格,新通常価格,備考,PAIR対象,通常_売価,通常_粗利額,通常_粗利率,通常_限界利益,通常_BE_ROAS,通常_CPA上限,通常_返金引当,通常_倍率,SummerSale10_売価,SummerSale10_粗利額,SummerSale10_粗利率,SummerSale10_限界利益,SummerSale10_BE_ROAS,SummerSale10_CPA上限,SummerSale10_返金引当,SummerSale10_倍率,MB2点_売価,MB2点_粗利額,MB2点_粗利率,MB2点_限界利益,MB2点_BE_ROAS,MB2点_CPA上限,MB2点_返金引当,MB2点_倍率,MB3点以上_売価,MB3点以上_粗利額,MB3点以上_粗利率,MB3点以上_限界利益,MB3点以上_BE_ROAS,MB3点以上_CPA上限,MB3点以上_返金引当,MB3点以上_倍率,PAIR15_売価,PAIR15_粗利額,PAIR15_粗利率,PAIR15_限界利益,PAIR15_BE_ROAS,PAIR15_CPA上限,PAIR15_返金引当,PAIR15_倍率
ガラスフラワー オブジェ,ルビー（7点セット）,29d7e8cbcebfab5af9efca0ec2f23682,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-A,3480,2249,64.6%,1888,1.84,1322,236,2.83,,,,,,,,,3132,1901,60.7%,1570,1.99,1099,218,2.54,2958,1727,58.4%,1411,2.10,988,209,2.40,2958,1727,58.4%,1411,2.10,988,209,2.40
ガラスフラワー オブジェ,ブルー（7点セット）,7b370f9a7f74641e87773b8735868386,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-A,3480,2249,64.6%,1888,1.84,1322,236,2.83,,,,,,,,,3132,1901,60.7%,1570,1.99,1099,218,2.54,2958,1727,58.4%,1411,2.10,988,209,2.40,2958,1727,58.4%,1411,2.10,988,209,2.40
ガラスフラワー オブジェ,ピンク（7点セット）,7f19f1a9b72ba25c4af03320b63d2075,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-A,3480,2249,64.6%,1888,1.84,1322,236,2.83,,,,,,,,,3132,1901,60.7%,1570,1.99,1099,218,2.54,2958,1727,58.4%,1411,2.10,988,209,2.40,2958,1727,58.4%,1411,2.10,988,209,2.40
ガラスフラワー オブジェ,ホワイト（7点セット）,4e3ef97bd8e412402af2f47ab63a30e1,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-A,3480,2249,64.6%,1888,1.84,1322,236,2.83,,,,,,,,,3132,1901,60.7%,1570,1.99,1099,218,2.54,2958,1727,58.4%,1411,2.10,988,209,2.40,2958,1727,58.4%,1411,2.10,988,209,2.40
ガラスフラワー オブジェ,アンバー（7点セット）,dab3482fc0695768b2496f0f97c5e4ce,ACTIVE,tier-aov,object,MULTI_BUY,小物,800,431,1231,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,P-A,3480,2249,64.6%,1888,1.84,1322,236,2.83,,,,,,,,,3132,1901,60.7%,1570,1.99,1099,218,2.54,2958,1727,58.4%,1411,2.10,988,209,2.40,2958,1727,58.4%,1411,2.10,988,209,2.40
クラウド サイドテーブル,スターライトブラック（1段）,05570b9a124d02f2d3769d087d12019a,ACTIVE,tier-core,table,SUMMER_SALE,大型,3500,564,4064,推定(ckb_cost + ship_est),,12480,11980,Owner承認済み(次回テスト候補 10980),P-6,11980,7916,66.1%,6683,1.79,4678,802,2.95,10782,6718,62.3%,5588,1.93,3911,742,2.65,,,,,,,,,,,,,,,,,10183,6119,60.1%,5040,2.02,3528,712,2.51
クラウド サイドテーブル,ミルキーホワイト（1段）,5b71a3dc3109a5c3443b343e30aaeb76,ACTIVE,tier-core,table,SUMMER_SALE,大型,3500,564,4064,推定(ckb_cost + ship_est),,12480,11980,Owner承認済み(次回テスト候補 10980),P-6,11980,7916,66.1%,6683,1.79,4678,802,2.95,10782,6718,62.3%,5588,1.93,3911,742,2.65,,,,,,,,,,,,,,,,,10183,6119,60.1%,5040,2.02,3528,712,2.51
クラウド サイドテーブル,ウォールナット（1段）,dc56669e522c1955922bcd9dff5572be,ACTIVE,tier-core,table,SUMMER_SALE,大型,3500,564,4064,推定(ckb_cost + ship_est),,12480,11980,Owner承認済み(次回テスト候補 10980),P-6,11980,7916,66.1%,6683,1.79,4678,802,2.95,10782,6718,62.3%,5588,1.93,3911,742,2.65,,,,,,,,,,,,,,,,,10183,6119,60.1%,5040,2.02,3528,712,2.51
クリアシェード テーブルランプ,充電式・無段階調光 / クローム（クリアシェード）,9c4ed89e3487f9ce5f4c97186b090232,ACTIVE,tier-aov,lighting,SUMMER_SALE,中型,1750,1949,3699,推定(ckb_cost + ship_est),,11480,10980,Owner承認済み,—,10980,7281,66.3%,6152,1.78,4306,734,2.97,9882,6183,62.6%,5148,1.92,3604,679,2.67,,,,,,,,,,,,,,,,,,,,,,,,
クリアシェード テーブルランプ,充電式・無段階調光 / バーガンディ（クリアシェード）,b809bb70178d3b8681fed393f957dc98,ACTIVE,tier-aov,lighting,SUMMER_SALE,中型,1750,1949,3699,推定(ckb_cost + ship_est),,11480,10980,Owner承認済み,—,10980,7281,66.3%,6152,1.78,4306,734,2.97,9882,6183,62.6%,5148,1.92,3604,679,2.67,,,,,,,,,,,,,,,,,,,,,,,,
