product,status,variant,variant_id,price,bucket,cost_source,landed_est,sale,normal_price,normal_gp_rate,normal_mp5,normal_mp8,best_disc_price,best_disc_gp_rate,best_disc_mp5,best_disc_mp8,worst_price,worst_gp_rate,worst_mp5,worst_mp8,cpa_at_disc,be_roas_at_disc,mult_now
コーデュロイ フォールディングチェア,ACTIVE,オリーブグリーン,50296079843568,11480,中型,推定(ckb+ship_est),3749,SALE10,11480,0.673,6743,6399,10332,0.637,5694,5384,9832,0.619,5237,4942,3986,1.81,3.06
ツインベル アラームクロック,ACTIVE,ホワイト,50296082170096,5480,小物,推定(ckb+ship_est),1797,SALE10,5480,0.672,3211,3047,4932,0.636,2710,2562,4432,0.595,2253,2120,1897,1.82,3.05
ミニ アラームクロック,ACTIVE,エメラルド,50296082006256,4980,小物,推定(ckb+ship_est),1519,MB15,4980,0.695,3032,2883,4233,0.641,2349,2222,3733,0.593,1892,1780,1644,1.8,3.28
ミニ アラームクロック,ACTIVE,ライトパープル,50296082039024,4980,小物,推定(ckb+ship_est),1519,MB15,4980,0.695,3032,2883,4233,0.641,2349,2222,3733,0.593,1892,1780,1644,1.8,3.28
ミニ アラームクロック,ACTIVE,オフホワイト,50296082071792,4980,小物,推定(ckb+ship_est),1519,MB15,4980,0.695,3032,2883,4233,0.641,2349,2222,3733,0.593,1892,1780,1644,1.8,3.28
ミニ アラームクロック,ACTIVE,ピンク,50296082104560,4980,小物,推定(ckb+ship_est),1519,MB15,4980,0.695,3032,2883,4233,0.641,2349,2222,3733,0.593,1892,1780,1644,1.8,3.28
マッシュルーム コードレステーブルランプ,ACTIVE,タッチ式・3色調光 / ゴールド,50296081252592,10480,中型,推定(ckb+ship_est),3374,SALE10,10480,0.678,6204,5890,9432,0.642,5246,4963,8932,0.622,4789,4521,3672,1.8,3.11
マッシュルーム コードレステーブルランプ,ACTIVE,タッチ式・3色調光 / シルバー,50296081285360,10480,中型,推定(ckb+ship_est),3374,SALE10,10480,0.678,6204,5890,9432,0.642,5246,4963,8932,0.622,4789,4521,3672,1.8,3.11
マッシュルーム コードレステーブルランプ,ACTIVE,タッチ式・3色調光 / ローズゴールド,50296081318128,10480,中型,推定(ckb+ship_est),3374,SALE10,10480,0.678,6204,5890,9432,0.642,5246,4963,8932,0.622,4789,4521,3672,1.8,3.11
マッシュルーム コードレステーブルランプ,ACTIVE,タッチ式・3色調光 / バーガンディ,50296081350896,10480,中型,推定(ckb+ship_est),3374,SALE10,10480,0.678,6204,5890,9432,0.642,5246,4963,8932,0.622,4789,4521,3672,1.8,3.11
マッシュルーム コードレステーブルランプ,ACTIVE,タッチ式・3色調光 / ダークグリーン,50296081383664,10480,中型,推定(ckb+ship_est),3374,SALE10,10480,0.678,6204,5890,9432,0.642,5246,4963,8932,0.622,4789,4521,3672,1.8,3.11
マッシュルーム コードレステーブルランプ,ACTIVE,タッチ式・3色調光 / ライムブルー,50296081416432,10480,中型,推定(ckb+ship_est),3374,SALE10,10480,0.678,6204,5890,9432,0.642,5246,4963,8932,0.622,4789,4521,3672,1.8,3.11
マッシュルーム コードレステーブルランプ,ACTIVE,タッチ式・3色調光 / グレー,50296081449200,10480,中型,推定(ckb+ship_est),3374,SALE10,10480,0.678,6204,5890,9432,0.642,5246,4963,8932,0.622,4789,4521,3672,1.8,3.11
