product_id,status,variant_id,old_price,new_price
10218008215792,DRAFT,50296080597232,22980,23480
10218008215792,DRAFT,50296080630000,22480,22980
10218008215792,DRAFT,50296080662768,18480,18980
10218008215792,DRAFT,50296080695536,44480,44980
10218008215792,DRAFT,50296080728304,30480,30980
10218008215792,DRAFT,50296080761072,26980,27480
10218008215792,DRAFT,50296080793840,11980,12480
10218008215792,DRAFT,50296080826608,12980,13480
10218008215792,DRAFT,50296080859376,9480,9980
10218008215792,DRAFT,50296080892144,9480,9980
10218008215792,DRAFT,50296080924912,6980,7480
10218008215792,DRAFT,50296080957680,6480,6980
10218008215792,DRAFT,50296080990448,6480,6980
10218008215792,DRAFT,50296081023216,6980,7480
10218008215792,DRAFT,50296081055984,9480,9980
10218008215792,DRAFT,50296081088752,16980,17480
10218008215792,DRAFT,50296081121520,18480,18980
10218008215792,DRAFT,50296081154288,9980,10480
10218008215792,DRAFT,50296081187056,6980,7480
10218008215792,DRAFT,50296081219824,4980,5480
10218008248560,ACTIVE,50296081252592,9980,10480
10218008248560,ACTIVE,50296081285360,9980,10480
10218008248560,ACTIVE,50296081318128,9980,10480
10218008248560,ACTIVE,50296081350896,9980,10480
10218008248560,ACTIVE,50296081383664,9980,10480
10218008248560,ACTIVE,50296081416432,9980,10480
10218008248560,ACTIVE,50296081449200,9980,10480
10218008346864,ACTIVE,50296082006256,4480,4980
10218008346864,ACTIVE,50296082039024,4480,4980
10218008346864,ACTIVE,50296082071792,4480,4980
10218008346864,ACTIVE,50296082104560,4480,4980
10218008379632,ACTIVE,50296082170096,4980,5480
10218008510704,DRAFT,50296082661616,26980,27480
10218008510704,DRAFT,50296082694384,26980,27480
10218008510704,DRAFT,50296082727152,26980,27480
10218008969456,ACTIVE,50296089837808,5980,6480
10218008969456,ACTIVE,50296089903344,5980,6480
10218008969456,ACTIVE,50296090362096,5980,6480
10218008969456,ACTIVE,50296090558704,5980,6480
10218008969456,ACTIVE,50296090820848,5480,5980
10218008969456,ACTIVE,50296090886384,6480,6980
10218008969456,ACTIVE,50296090951920,5480,5980
10218008969456,ACTIVE,50296091082992,5980,6480
10218009133296,ACTIVE,50296092885232,5480,5980
10218009133296,ACTIVE,50296093212912,6980,7480
10218009133296,ACTIVE,50296093278448,5480,5980
10218009133296,ACTIVE,50296093475056,5480,5980
10218009133296,ACTIVE,50296093606128,6980,7480
10218009133296,ACTIVE,50296094032112,4980,5480
10218009133296,ACTIVE,50296094228720,6480,6980
10218009133296,ACTIVE,50296094753008,5480,5980
10218009198832,ACTIVE,50296095637744,20980,21480
10218009198832,ACTIVE,50296095703280,20980,21480
10218009198832,ACTIVE,50296095768816,33980,34480
10218009198832,ACTIVE,50296095670512,33980,34480
10218009231600,ACTIVE,50296096096496,22980,23480
10218009231600,ACTIVE,50296096129264,22980,23480
10218009231600,ACTIVE,50296096162032,24980,25480
10218009231600,ACTIVE,50296096194800,24980,25480
10218009231600,ACTIVE,50296096227568,24980,25480
10218009231600,ACTIVE,50296096260336,24980,25480
10218009231600,ACTIVE,50296096293104,22980,23480
10218009231600,ACTIVE,50296096325872,22980,23480
10218009231600,ACTIVE,50296096358640,22980,23480
10218009329904,ACTIVE,50296097243376,3480,3980
10218009329904,ACTIVE,50296097276144,3480,3980
10218009329904,ACTIVE,50296097308912,3480,3980
10218009329904,ACTIVE,50296097341680,3480,3980
10218009329904,ACTIVE,50296097374448,3480,3980
10218009329904,ACTIVE,50296097407216,3480,3980
10218009329904,ACTIVE,50296097439984,3480,3980
10218009329904,ACTIVE,50296097472752,3480,3980
10218009329904,ACTIVE,50296097505520,3480,3980
10218057531632,ACTIVE,50296389009648,5980,6480
10218057531632,ACTIVE,50296389042416,5480,5980
10218057531632,ACTIVE,50296389075184,5980,6480
10218057531632,ACTIVE,50296389107952,5480,5980
10218057531632,ACTIVE,50296389140720,5980,6480
10218057531632,ACTIVE,50296389173488,5480,5980
10218057531632,ACTIVE,50296389206256,5980,6480
10218057531632,ACTIVE,50296389239024,5480,5980
10218057892080,ACTIVE,50296391205104,3480,3980
10218057892080,ACTIVE,50296391270640,3480,3980
10218057892080,ACTIVE,50296391336176,3480,3980
10218057892080,ACTIVE,50296391401712,3480,3980
10218057892080,ACTIVE,50296391467248,3480,3980
10218057924848,ACTIVE,50296391532784,19980,20480
10218057924848,ACTIVE,50296391565552,19980,20480
10218057924848,ACTIVE,50296391598320,19980,20480
10218057990384,DRAFT,50296392253680,2980,3480
10218057990384,DRAFT,50296392286448,2980,3480
10218057990384,DRAFT,50296392351984,2980,3480
10218057990384,DRAFT,50296392450288,2980,3480
10218057990384,DRAFT,50296392614128,3480,3980
10218057990384,DRAFT,50296392712432,2980,3480
10218057990384,DRAFT,50296392810736,3480,3980
10218058285296,ACTIVE,50296393662704,3480,3980
10218058285296,ACTIVE,50296393695472,3480,3980
10218058285296,ACTIVE,50296393728240,3480,3980
10218058285296,ACTIVE,50296393826544,3480,3980
10218058285296,ACTIVE,50296393924848,3480,3980
10218058318064,ACTIVE,50296394121456,31980,32480
10218058318064,ACTIVE,50296394154224,31980,32480
10218058318064,ACTIVE,50296394186992,31980,32480
10218058350832,ACTIVE,50296394219760,14980,15480
10218058350832,ACTIVE,50296394252528,14980,15480
10218058350832,ACTIVE,50296394285296,14980,15480
10218058350832,ACTIVE,50296394318064,14980,15480
10218058350832,ACTIVE,50296394350832,14980,15480
10218058350832,ACTIVE,50296394383600,14980,15480
10218058350832,ACTIVE,50296394416368,14980,15480
10218058350832,ACTIVE,50296394449136,14980,15480
10218058350832,ACTIVE,50296394481904,14980,15480
10218058350832,ACTIVE,50296394514672,14980,15480
10218060808432,ACTIVE,50296441307376,29980,30480
10218060808432,ACTIVE,50296441340144,29980,30480
